"A Plea for Purging","the life"
"Vanguard","Demigod"
"Vanguard","Demigod"
"Nok Novum","Shiryō"
"Nok Novum","Shiryō"
"Winterhorde","Hunting the Human"
"Winterhorde","Hunting the Human"
"Bury Tomorrow","Last of the Ice"
"Bury Tomorrow","Last of the Ice"
"Swans","Oxygen"
"Swans","Oxygen"
"Corrosion Of Conformity","Albatross"
"Corrosion Of Conformity","Albatross"
"Children Of Bodom","Bed Of Razors"
"Children Of Bodom","Bed Of Razors"
"Intronaut","City Hymnal"
"Intronaut","City Hymnal"
"Violator","Brainwash Possession"
"Violator","Brainwash Possession"
"Vektor","Cygnus Terminal"
"Vektor","Cygnus Terminal"
"Carcass","Inpropagation"
"Carcass","Inpropagation"
"Johari","Everest"
"Johari","Everest"
"Bloodbath","Like Fire"
"Bloodbath","Like Fire"
"Headspace","The Big Day"
"Headspace","The Big Day"
"Fit For A King","The Resistance"
"Fit For A King","The Resistance"
"Bullet For My Valentine","Hit The Floor"
"Bullet For My Valentine","Hit The Floor"
"Dream Theater","Blind Faith"
"Dream Theater","Blind Faith"
"Enforcer","Undying Evil"
"Enforcer","Undying Evil"
"Reatards","You Build Me Up Just to Bust Me Back Down"
"Reatards","You Build Me Up Just to Bust Me Back Down"
"Dark Funeral","Unchain My Soul"
"Dark Funeral","Unchain My Soul"
"Orbs","Exploded Birds"
"Orbs","Exploded Birds"
"Inhale Exhale","A Call to the Faithful"
"Inhale Exhale","A Call to the Faithful"
"Stoneghost","Raynardine"
"Stoneghost","Raynardine"
"Divine Realm","Tritos"
"Divine Realm","Tritos"
"Haken","Bound by Gravity"
"Haken","Bound by Gravity"
"Flood","Atlantis (Remastered)"
"Flood","Atlantis (Remastered)"
"Blut Aus Nord","Epitome XVIII"
"Blut Aus Nord","Epitome XVIII"
"Uriah Heep","July Morning"
"Uriah Heep","July Morning"
"Triumvir Foul","Carnal Spectre"
"Triumvir Foul","Carnal Spectre"
"Set to Stun","Staria I: Amadeus Rise!"
"Set to Stun","Staria I: Amadeus Rise!"
"Persefone","Upward Explosion"
"Persefone","Upward Explosion"
"Bathory","The Lake"
"Bathory","The Lake"
"Converge","Heartache"
"Converge","Heartache"
"Dream Theater","This Dying Soul"
"Dream Theater","This Dying Soul"
"Pain of Salvation","Idioglossia"
"Pain of Salvation","Idioglossia"
"Cesium Swimsuit","Fear of Our Future"
"Cesium Swimsuit","Fear of Our Future"
"Memphis May Fire","Red In Tooth & Claw"
"Memphis May Fire","Red In Tooth & Claw"
"Atreyu","The Crimson"
"Atreyu","The Crimson"
"Ahab","Like Red Foam (The Great Storm)"
"Ahab","Like Red Foam (The Great Storm)"
"Dark Oath","The Tree of Life"
"Dark Oath","The Tree of Life"
"Young Wonder","Time (feat. Sacred Animals)"
"Young Wonder","Time (feat. Sacred Animals)"
"Ария","Баллада о древнерусском воине - Live"
"Ария","Баллада о древнерусском воине - Live"
"Katatonia","The Night Subscriber"
"Katatonia","The Night Subscriber"
"Psychotic Waltz","Faded"
"Psychotic Waltz","Faded"
"Minus The Bear","Cold Company"
"Minus The Bear","Cold Company"
"Words Of Farewell","Continuum Shift"
"Words Of Farewell","Continuum Shift"
"Voice Of Ruin","Our Need to Consume"
"Voice Of Ruin","Our Need to Consume"
"Devin Townsend Project","Universal Flame - Live"
"Devin Townsend Project","Universal Flame - Live"
"Very Secretary","Countryless"
"Very Secretary","Countryless"
"My Sleeping Karma","Ephedra"
"My Sleeping Karma","Ephedra"
"Eartheria","The River"
"Eartheria","The River"
"Avenged Sevenfold","Chapter Four"
"Avenged Sevenfold","Chapter Four"
"Porcupine Tree","Blackest Eyes"
"Porcupine Tree","Blackest Eyes"
"Mandroid Echostar","Paladin (Instrumental)"
"Mandroid Echostar","Paladin (Instrumental)"
"The Healing","First Light"
"The Healing","First Light"
"Unearth","The Swarm"
"Unearth","The Swarm"
"MinionTV","Arecibo"
"MinionTV","Arecibo"
"Van Der Graaf Generator","Pilgrims - 2005 Digital Remaster"
"Van Der Graaf Generator","Pilgrims - 2005 Digital Remaster"
"Caspian","Our Breath In Winter"
"Caspian","Our Breath In Winter"
"Marillion","Out of This World (Live)"
"Marillion","Out of This World (Live)"
"Misery Signals","Departure"
"Misery Signals","Departure"
"Novelists","Muchos Touché"
"Novelists","Muchos Touché"
"Between The Buried And Me","Mordecai"
"Between The Buried And Me","Mordecai"
"Opeth","I Feel The Dark"
"Opeth","I Feel The Dark"
"Warbringer","Savagery"
"Warbringer","Savagery"
"Moon Safari","Barfly"
"Moon Safari","Barfly"
"Killswitch Engage","Triumph Through Tragedy"
"Killswitch Engage","Triumph Through Tragedy"
"In Mourning","The Black Lodge"
"In Mourning","The Black Lodge"
"Death","Without Judgement"
"Death","Without Judgement"
"Grotesque","Spawn of Azathoth"
"Grotesque","Spawn of Azathoth"
"Piano Tribute Players","Aenema"
"Piano Tribute Players","Aenema"
"Shai Hulud","Ending The Perpetual Tragedy"
"Shai Hulud","Ending The Perpetual Tragedy"
"Pentagram","Drive Me to the Grave"
"Pentagram","Drive Me to the Grave"
"Lost Horizon","Highlander (The One)"
"Lost Horizon","Highlander (The One)"
"Sigh","Amnesia"
"Sigh","Amnesia"
"Ne Obliviscaris","Painters of the Tempest - Part II - Triptych Lux"
"Ne Obliviscaris","Painters of the Tempest - Part II - Triptych Lux"
"Monuments","Atlas"
"Monuments","Atlas"
"A Harbor for Dreams","Seasonal Shift"
"A Harbor for Dreams","Seasonal Shift"
"Faunts","What I'd Love To Hear You Say"
"Faunts","What I'd Love To Hear You Say"
"Sithu Aye","Constants and Variables"
"Sithu Aye","Constants and Variables"
"zpiderflower","More Streets"
"zpiderflower","More Streets"
"Skyclad","The Widdershins Jig"
"Skyclad","The Widdershins Jig"
"Periphery","The Price Is Wrong"
"Periphery","The Price Is Wrong"
"方力申","Yi Zhou Nian"
"方力申","Yi Zhou Nian"
"Genesis","The Fountain Of Salmacis"
"Genesis","The Fountain Of Salmacis"
"Periphery","The Price Is Wrong"
"Periphery","The Price Is Wrong"
"Periphery","The Price Is Wrong"
"Periphery","The Price Is Wrong"
"The Afterimage","The Unseen"
"The Afterimage","The Unseen"
"Coheed and Cambria","Welcome Home"
"Coheed and Cambria","Welcome Home"
"Appli[c]ate","Perception"
"Appli[c]ate","Perception"
"Scar Symmetry","Artificial Sun Projection"
"Scar Symmetry","Artificial Sun Projection"
"Cyborg Octopus","Discobrain!"
"Cyborg Octopus","Discobrain!"
"Manfred Mann's Earth Band","One Way Glass"
"Manfred Mann's Earth Band","One Way Glass"
"DVSR","Unconscious"
"DVSR","Unconscious"
"Native Construct","Mute"
"Native Construct","Mute"
"Gammacide","Victims of Science"
"Gammacide","Victims of Science"
"Corelia","The Sound of Glaciers Moving"
"Corelia","The Sound of Glaciers Moving"
"TrucitatE","Lost Summer"
"TrucitatE","Lost Summer"
"NEU!","Hallogallo"
"NEU!","Hallogallo"
"Chon","Puddle"
"Chon","Puddle"
"Edge Of Sanity","Lost"
"Edge Of Sanity","Lost"
"Anathema","Deep"
"Anathema","Deep"
"Eloy","The Apocalypse (Medley)"
"Eloy","The Apocalypse (Medley)"
"Buried In Verona","Can't Be Unsaid"
"Buried In Verona","Can't Be Unsaid"
"Nifelheim","Devil’s Wrath"
"Nifelheim","Devil’s Wrath"
"Darkthrone","Dead Early"
"Darkthrone","Dead Early"
"Legend","Why Don't You Kill Me"
"Legend","Why Don't You Kill Me"
"Flotsam & Jetsam","Iron Maiden"
"Flotsam & Jetsam","Iron Maiden"
"Death Angel","The Ultra-Violence"
"Death Angel","The Ultra-Violence"
"Fierce Mild","Song He Never Wrote"
"Fierce Mild","Song He Never Wrote"
"In Mourning","The Grinning Mist"
"In Mourning","The Grinning Mist"
"Hypothermia","Efterglod"
"Hypothermia","Efterglod"
"Dream Theater","In The Name Of God"
"Dream Theater","In The Name Of God"
"Dali's Llama","Dying in the Sun"
"Dali's Llama","Dying in the Sun"
"Deaden","Butchered Whore"
"Deaden","Butchered Whore"
"Frost*","Numbers"
"Frost*","Numbers"
"Toska","Infantile"
"Toska","Infantile"
"Tetrafusion","Monologue"
"Tetrafusion","Monologue"
"Shai Hulud","Outside The Boundaries Of A Friend"
"Shai Hulud","Outside The Boundaries Of A Friend"
"Erik Satie, Jean-Yves Thibaudet","L'Enfance de Ko-quo (Recommendations maternelles) : 1. Ne bois pas ton chocolat avec les doigts"
"Erik Satie, Jean-Yves Thibaudet","L'Enfance de Ko-quo (Recommendations maternelles) : 1. Ne bois pas ton chocolat avec les doigts"
"Abyssal","Chrysalis"
"Abyssal","Chrysalis"
"One Year Later","Shapeshifter"
"One Year Later","Shapeshifter"
"Life's December","Lest I Forget"
"Life's December","Lest I Forget"
"Now And On Earth","Intoxicated"
"Now And On Earth","Intoxicated"
"Tides from nebula","The Lifter"
"Tides from nebula","The Lifter"
"Blue Öyster Cult","Then Came the Last Days of May"
"Blue Öyster Cult","Then Came the Last Days of May"
"Brocas Helm","Drink The Blood Of The Priest"
"Brocas Helm","Drink The Blood Of The Priest"
"Heathen Foray","Armored Bards"
"Heathen Foray","Armored Bards"
"Drudkh","Cursed Sons I"
"Drudkh","Cursed Sons I"
"Vastum","Amniosis"
"Vastum","Amniosis"
"Xenomorph","Valley of the Kings"
"Xenomorph","Valley of the Kings"
"Be'lakor","A Thread Dissolves"
"Be'lakor","A Thread Dissolves"
"Choi","Your Words Still Remain"
"Choi","Your Words Still Remain"
"The Reign of Kindo","Let It Go"
"The Reign of Kindo","Let It Go"
"Suffocation","Pierced From Within"
"Suffocation","Pierced From Within"
"Asking Alexandria","Don't Pray For Me"
"Asking Alexandria","Don't Pray For Me"
"Gentle Giant","Playing the Game"
"Gentle Giant","Playing the Game"
"Opeth","Master's Apprentices"
"Opeth","Master's Apprentices"
"Ellie Goulding","Burn"
"Ellie Goulding","Burn"
"Vir Nocturna","Shredding Slopes"
"Vir Nocturna","Shredding Slopes"
"J.Rollins, S.Nelson, The New Country All-Stars","Frosty the Snowman"
"J.Rollins, S.Nelson, The New Country All-Stars","Frosty the Snowman"
"Nunslaughter","Immune to Poison"
"Nunslaughter","Immune to Poison"
"The Contortionist","Language I: Intuition"
"The Contortionist","Language I: Intuition"
"Haken","1985"
"Haken","1985"
"Motionless","The Politics Of Resignation"
"Motionless","The Politics Of Resignation"
"Skeletal Remains","Obscured Velitation"
"Skeletal Remains","Obscured Velitation"
"Children of Nova","Arcaedion"
"Children of Nova","Arcaedion"
"The Contortionist","Feedback Loop"
"The Contortionist","Feedback Loop"
"Children of Nova","Arcaedion"
"Children of Nova","Arcaedion"
"The Browning","Pure Evil"
"The Browning","Pure Evil"
"Thank You Scientist","A Salesman's Guide to Non-Existence"
"Thank You Scientist","A Salesman's Guide to Non-Existence"
"Ice Nine Kills","Evidence On Fire"
"Ice Nine Kills","Evidence On Fire"
"Bolu2 Death","Dualitas"
"Bolu2 Death","Dualitas"
"The American Dollar","Anything You Synthesize - Ambient"
"The American Dollar","Anything You Synthesize - Ambient"
"Wess Meets West","These Will All Be Stories"
"Wess Meets West","These Will All Be Stories"
"The Dream Maker","Undisturbed"
"The Dream Maker","Undisturbed"
"The Charm The Fury","Carte Blanche"
"The Charm The Fury","Carte Blanche"
"Jonathan Wilson","Lovestrong"
"Jonathan Wilson","Lovestrong"
"Havok","Children of the Grave"
"Havok","Children of the Grave"
"Silent Whale Becomes a Dream","Panacea"
"Silent Whale Becomes a Dream","Panacea"
"Frost*","The Raging Against The Dying of the Light Blues In 7/8"
"Frost*","The Raging Against The Dying of the Light Blues In 7/8"
"Adept","Black Veins"
"Adept","Black Veins"
"For All Those Sleeping","He's Dead Because Mommy Killed Him"
"For All Those Sleeping","He's Dead Because Mommy Killed Him"
"The Wounded Kings","In the Chapel of the Black Hand"
"The Wounded Kings","In the Chapel of the Black Hand"
"Kyuss","The Law"
"Kyuss","The Law"
"Lead Us Forth","Reframed Identity"
"Lead Us Forth","Reframed Identity"
"Sword","The End Of The Night"
"Sword","The End Of The Night"
"Adimiron","Collateral"
"Adimiron","Collateral"
"Aiming for Enrike","Newspeak"
"Aiming for Enrike","Newspeak"
"Johari","Fight Me IRL"
"Johari","Fight Me IRL"
"Last Chance To Reason","Apotheosis"
"Last Chance To Reason","Apotheosis"
"Pram","Play of the Waves"
"Pram","Play of the Waves"
"Novelists","Twenty Years"
"Novelists","Twenty Years"
"Periphery","Stranger Things"
"Periphery","Stranger Things"
"Vildhjarta","Mist förståndet"
"Vildhjarta","Mist förståndet"
"Electric Outlet","Comprendes"
"Electric Outlet","Comprendes"
"Skyfire","Rise and Decay"
"Skyfire","Rise and Decay"
"Misery Signals","Set In Motion"
"Misery Signals","Set In Motion"
"Amorphis","In The Beginning"
"Amorphis","In The Beginning"
"Deathspell Omega","A chore for the lost"
"Deathspell Omega","A chore for the lost"
"Sheavy","Electric Sleep"
"Sheavy","Electric Sleep"
"Ministry","Reload"
"Ministry","Reload"
"Chunk! No, Captain Chunk!","I Am Nothing Like You"
"Chunk! No, Captain Chunk!","I Am Nothing Like You"
"Nevermore","Born"
"Nevermore","Born"
"Special Providence","Northern Lights"
"Special Providence","Northern Lights"
"The Endgame","Chör De Coeur"
"The Endgame","Chör De Coeur"
"The Endgame","Chör De Coeur"
"The Endgame","Chör De Coeur"
"Animals As Leaders","Kascade"
"Animals As Leaders","Kascade"
"Fórn","Gates of the Astral Plane"
"Fórn","Gates of the Astral Plane"
"Good Tiger","Latchkey Kids"
"Good Tiger","Latchkey Kids"
"Secondsmile","Soundtrack To Your Life"
"Secondsmile","Soundtrack To Your Life"
"Converge","Eagles Become Vultures"
"Converge","Eagles Become Vultures"
"Caligula's Horse","Rust"
"Caligula's Horse","Rust"
"Asphyx","Vermin"
"Asphyx","Vermin"
"Punch Brothers","Another New World"
"Punch Brothers","Another New World"
"In Hearts Wake, Adrian Fitipaldes","Shapeless - Judgement"
"In Hearts Wake, Adrian Fitipaldes","Shapeless - Judgement"
"Jethro Tull","Minstrel In The Gallery"
"Jethro Tull","Minstrel In The Gallery"
"Bloodbath","Cry My Name"
"Bloodbath","Cry My Name"
"Attila","Middle Fingers Up"
"Attila","Middle Fingers Up"
"The Sorrow","Where is the Sun?"
"The Sorrow","Where is the Sun?"
"Cult Of Luna","Sleep"
"Cult Of Luna","Sleep"
"Les Discrets","Après l' ombre"
"Les Discrets","Après l' ombre"
"Confessor","Condemned"
"Confessor","Condemned"
"Not Nearly","Cutting off Brain Activity"
"Not Nearly","Cutting off Brain Activity"
"War Of Ages","Immortal"
"War Of Ages","Immortal"
"Aihvhia","2400"
"Aihvhia","2400"
"Queensrÿche","Walk In The Shadows - Digital Remaster"
"Queensrÿche","Walk In The Shadows - Digital Remaster"
"Djontché Kôrô","Tchômô"
"Djontché Kôrô","Tchômô"
"Obituary","Internal Bleeding - Reissue"
"Obituary","Internal Bleeding - Reissue"
"Tangerine Dream","Phaedra - 1995 - Remaster"
"Tangerine Dream","Phaedra - 1995 - Remaster"
"The Algorithm","Access Denied"
"The Algorithm","Access Denied"
"Frost*","Nice Day for It..."
"Frost*","Nice Day for It..."
"Oceill, Plini","Malaise (feat. Plini)"
"Oceill, Plini","Malaise (feat. Plini)"
"The Best Pessimist","Love Is..."
"The Best Pessimist","Love Is..."
"Phideaux","Snowtorch (Part One)"
"Phideaux","Snowtorch (Part One)"
"Eluveitie","A Rose for Epona"
"Eluveitie","A Rose for Epona"
"SwigglesRP, Kristin Naigus, David Russell","Star Wars: A New Hope Metal Medley"
"SwigglesRP, Kristin Naigus, David Russell","Star Wars: A New Hope Metal Medley"
"Canvas Solaris","Soliton (Emergence From Dispersion)"
"Canvas Solaris","Soliton (Emergence From Dispersion)"
"Misery Signals","Difference of Vengeance and Wrongs"
"Misery Signals","Difference of Vengeance and Wrongs"
"Misery Signals","Difference of Vengeance and Wrongs"
"Misery Signals","Difference of Vengeance and Wrongs"
"Misery Signals","Difference of Vengeance and Wrongs"
"Misery Signals","Difference of Vengeance and Wrongs"
"Phinehas","Dead Choir"
"Phinehas","Dead Choir"
"Necrophagia","Reborn Through Black Mass"
"Necrophagia","Reborn Through Black Mass"
"The Word Alive","Never Forget"
"The Word Alive","Never Forget"
"Famous Last Words","To Play Hide And Seek With Jealousy"
"Famous Last Words","To Play Hide And Seek With Jealousy"
"Mahavishnu Orchestra","One Word"
"Mahavishnu Orchestra","One Word"
"Goblin","Il Resvengo Del Serpente - Roller - 1976"
"Goblin","Il Resvengo Del Serpente - Roller - 1976"
"Whispered","Bloodred Shores of Enoshima"
"Whispered","Bloodred Shores of Enoshima"
"Demon Hunter","Undying"
"Demon Hunter","Undying"
"Code I","Chaos in Disorder"
"Code I","Chaos in Disorder"
"Reflections","Actias Luna"
"Reflections","Actias Luna"
"Ghost/Aeon","Diverge"
"Ghost/Aeon","Diverge"
"Kayo Dot","The Wait of the World"
"Kayo Dot","The Wait of the World"
"Sunny Day Real Estate","Seven"
"Sunny Day Real Estate","Seven"
"Glass Cloud","If He Dies, He Dies"
"Glass Cloud","If He Dies, He Dies"
"The Helix Nebula","Sea of Suns"
"The Helix Nebula","Sea of Suns"
"Periphery","Mile Zero"
"Periphery","Mile Zero"
"Harnessing the Universe","Spirit Guides"
"Harnessing the Universe","Spirit Guides"
"Falconer","Mindtraveller"
"Falconer","Mindtraveller"
"Big Big Train","Brooklands"
"Big Big Train","Brooklands"
"Silent Planet","Darkstrand (Hibakusha)"
"Silent Planet","Darkstrand (Hibakusha)"
"Premiata Forneria Marconi","River Of Life"
"Premiata Forneria Marconi","River Of Life"
"Trivium","Caustic Are The Ties That Bind"
"Trivium","Caustic Are The Ties That Bind"
"Artificial Brain","Moon Funeral"
"Artificial Brain","Moon Funeral"
"Leprous","The Cloak"
"Leprous","The Cloak"
"Blotted Science","Laser Lobotomy"
"Blotted Science","Laser Lobotomy"
"After The Burial","Neo Seoul"
"After The Burial","Neo Seoul"
"Sithu Aye","Constants and Variables"
"Sithu Aye","Constants and Variables"
"Sioum","Yet Further"
"Sioum","Yet Further"
"譚詠麟","Shang Ci Wu Xia Ci"
"譚詠麟","Shang Ci Wu Xia Ci"
"Slabdragger","Implosion Rites"
"Slabdragger","Implosion Rites"
"Witchhelm","Swamp Bitch"
"Witchhelm","Swamp Bitch"
"Mahavishnu Orchestra, John McLaughlin","Miles Beyond"
"Mahavishnu Orchestra, John McLaughlin","Miles Beyond"
"The Doors","Riders On The Storm"
"The Doors","Riders On The Storm"
"Fleshgod Apocalypse","The Violation"
"Fleshgod Apocalypse","The Violation"
"Erra","Alpha Seed"
"Erra","Alpha Seed"
"The Amity Affliction","Open Letter"
"The Amity Affliction","Open Letter"
"Bill Bruford","Joe Frazier"
"Bill Bruford","Joe Frazier"
"Temple of Void","Savage Howl"
"Temple of Void","Savage Howl"
"Katatonia","Passer"
"Katatonia","Passer"
"Living Sacrifice","Sudden"
"Living Sacrifice","Sudden"
"Caligula's Horse","Turntail"
"Caligula's Horse","Turntail"
"Sorcery","Legacy of Blood"
"Sorcery","Legacy of Blood"
"Borknagar","Winter Thrice"
"Borknagar","Winter Thrice"
"Anekdoten","Writing on the Wall"
"Anekdoten","Writing on the Wall"
"Meshuggah","Rational gaze"
"Meshuggah","Rational gaze"
"Metal Church","Watch the Children Pray"
"Metal Church","Watch the Children Pray"
"Malevolence","In the Face of Death"
"Malevolence","In the Face of Death"
"Moon Safari","Sugar Band"
"Moon Safari","Sugar Band"
"Autopsy","In The Grip Of Winter"
"Autopsy","In The Grip Of Winter"
"Lechuga","O Vurdon"
"Lechuga","O Vurdon"
"Rotting Christ","The Four Horsemen"
"Rotting Christ","The Four Horsemen"
"Huldra","Ursidae"
"Huldra","Ursidae"
"Bloodbath","Feeding the Undead"
"Bloodbath","Feeding the Undead"
"Atreyu","Lip Gloss and Black"
"Atreyu","Lip Gloss and Black"
"Genesis","Undertow"
"Genesis","Undertow"
"Ever Forthright","Lost in Our Escape"
"Ever Forthright","Lost in Our Escape"
"Amorphis","Sampo"
"Amorphis","Sampo"
"England","Nanogram"
"England","Nanogram"
"Acid Witch","The Black Witch"
"Acid Witch","The Black Witch"
"Silver Mt. Zion","Movie (Never Made)"
"Silver Mt. Zion","Movie (Never Made)"
"In Mourning","The Lighthouse Keeper"
"In Mourning","The Lighthouse Keeper"
"Native Construct","Chromatic Aberration"
"Native Construct","Chromatic Aberration"
"Decapitated","Day 69"
"Decapitated","Day 69"
"Big Big Train","The First Rebreather"
"Big Big Train","The First Rebreather"
"Thank You Scientist","My Famed Disappearing Act"
"Thank You Scientist","My Famed Disappearing Act"
"Scale The Summit","Odyssey"
"Scale The Summit","Odyssey"
"Devin Townsend Band","Vampira"
"Devin Townsend Band","Vampira"
"3 Inches Of Blood","Destroy The Orcs"
"3 Inches Of Blood","Destroy The Orcs"
"Insomnium","Bereavement"
"Insomnium","Bereavement"
"Sithu Aye","Beyond the Boundary"
"Sithu Aye","Beyond the Boundary"
"I Built the Sky","Duplicatus"
"I Built the Sky","Duplicatus"
"Mystery","The Last Glass of Wine"
"Mystery","The Last Glass of Wine"
"Rain Sounds, Rain Sounds & White Noise, Relaxing Rain Sounds, Meditation Rain Sounds, Sleep Sound Library, Rain Sounds Sleep","A Gentle Thunderstorm"
"Rain Sounds, Rain Sounds & White Noise, Relaxing Rain Sounds, Meditation Rain Sounds, Sleep Sound Library, Rain Sounds Sleep","A Gentle Thunderstorm"
"Animals As Leaders","On Impulse"
"Animals As Leaders","On Impulse"
"Seventh Wonder","Alley Cat"
"Seventh Wonder","Alley Cat"
"Bullet For My Valentine","You Want a Battle? (Here's a War)"
"Bullet For My Valentine","You Want a Battle? (Here's a War)"
"Graves at Sea","The Ashes Make Her Beautiful"
"Graves at Sea","The Ashes Make Her Beautiful"
"Månegarm","Ur Själslig Död"
"Månegarm","Ur Själslig Död"
"Sumac","Rigid Man"
"Sumac","Rigid Man"
"Invent, Animate","Sol"
"Invent, Animate","Sol"
"Underoath","There Could Be Nothing After This"
"Underoath","There Could Be Nothing After This"
"Rush","The Wreckers"
"Rush","The Wreckers"
"Banco Del Mutuo Soccorso","La conquista della posizione eretta"
"Banco Del Mutuo Soccorso","La conquista della posizione eretta"
"Avenged Sevenfold","Unholy Confessions"
"Avenged Sevenfold","Unholy Confessions"
"Haken","Atlas Stone"
"Haken","Atlas Stone"
"Cough","288 Years of Sin"
"Cough","288 Years of Sin"
"Billy Squier","You Know What I Like - 2010 Digital Remaster"
"Billy Squier","You Know What I Like - 2010 Digital Remaster"
"Unleash The Archers","Test Your Metal"
"Unleash The Archers","Test Your Metal"
"The Body, Full Of Hell","One Day You Will Ache Like I Ache"
"The Body, Full Of Hell","One Day You Will Ache Like I Ache"
"Widek, Plini","Earthshine (feat. Plini)"
"Widek, Plini","Earthshine (feat. Plini)"
"Blue Öyster Cult","Astronomy"
"Blue Öyster Cult","Astronomy"
"The Browning","Bloodlust"
"The Browning","Bloodlust"
"All That Remains","This Calling"
"All That Remains","This Calling"
"Nordic Giants","Mechanical Minds"
"Nordic Giants","Mechanical Minds"
"Savatage","Hall Of The Mountain King"
"Savatage","Hall Of The Mountain King"
"Unearth","My Will Be Done"
"Unearth","My Will Be Done"
"Amorphis","Death of a King"
"Amorphis","Death of a King"
"Periphery","MAKE TOTAL DESTROY"
"Periphery","MAKE TOTAL DESTROY"
"TERRORHORSE","Modern Mathematics"
"TERRORHORSE","Modern Mathematics"
"Death","To Forgive is to Suffer"
"Death","To Forgive is to Suffer"
"Astrophobos","Arcane Secrets"
"Astrophobos","Arcane Secrets"
"Lechuga","The Search"
"Lechuga","The Search"
"Hellhammer","Bloody Pussies"
"Hellhammer","Bloody Pussies"
"Cattle Decapitation","Manufactured Extinct"
"Cattle Decapitation","Manufactured Extinct"
"Into The Moat","Empty Shell"
"Into The Moat","Empty Shell"
"Brightest Color","Lighthouse"
"Brightest Color","Lighthouse"
"Karnivool","Fear Of The Sky"
"Karnivool","Fear Of The Sky"
"Absu","Manannan"
"Absu","Manannan"
"Primordial","The Song Of The Tomb"
"Primordial","The Song Of The Tomb"
"Carach Angren","Lingering in an Imprint Haunting"
"Carach Angren","Lingering in an Imprint Haunting"
"Blurry Lights","Sakura Leaves"
"Blurry Lights","Sakura Leaves"
"Crack The Sky","Ice"
"Crack The Sky","Ice"
"Mare Cognitum","Pulses In Extraconscious Lucidity"
"Mare Cognitum","Pulses In Extraconscious Lucidity"
"We Lost The Sea","Challenger Part 2 - A Swan Song"
"We Lost The Sea","Challenger Part 2 - A Swan Song"
"Cryptopsy","Crown of Horns"
"Cryptopsy","Crown of Horns"
"Ice Nine Kills","The Greatest Story Ever Told"
"Ice Nine Kills","The Greatest Story Ever Told"
"Burzum","War"
"Burzum","War"
"Baroness","Desperation Burns"
"Baroness","Desperation Burns"
"Ne Obliviscaris","Forget Not"
"Ne Obliviscaris","Forget Not"
"Leprous","He Will Kill Again"
"Leprous","He Will Kill Again"
"Alcest","Percées de lumière"
"Alcest","Percées de lumière"
"Overkill","Soulitude"
"Overkill","Soulitude"
"Suffocation","Images Of Purgatory"
"Suffocation","Images Of Purgatory"
"7 Angels 7 Plagues","Away with Words"
"7 Angels 7 Plagues","Away with Words"
"Soen","Savia"
"Soen","Savia"
"Dragged Into Sunlight","Buried With Leeches"
"Dragged Into Sunlight","Buried With Leeches"
"Rotting Christ","Shadows Follow"
"Rotting Christ","Shadows Follow"
"Pomegranate Tiger","Manifesto"
"Pomegranate Tiger","Manifesto"
"It Dies Today","Life Of Uncertainty"
"It Dies Today","Life Of Uncertainty"
"Running Wild","Treasure Island"
"Running Wild","Treasure Island"
"Frank Zappa","Broken Hearts Are For Assholes"
"Frank Zappa","Broken Hearts Are For Assholes"
"volcano!","So Many Lemons"
"volcano!","So Many Lemons"
"Grim Reaper","See You In Hell"
"Grim Reaper","See You In Hell"
"The Amity Affliction","Pittsburgh - No Intro"
"The Amity Affliction","Pittsburgh - No Intro"
"Destroyer 666","Live and Burn"
"Destroyer 666","Live and Burn"
"Genital Grinder","Green Piss"
"Genital Grinder","Green Piss"
"The Dear Hunter","Red Hands"
"The Dear Hunter","Red Hands"
"Mark D. Pencil & Friends","Learning With Hip Hop # 1"
"Mark D. Pencil & Friends","Learning With Hip Hop # 1"
"Architects","From The Wilderness"
"Architects","From The Wilderness"
"Tides from nebula","All The Steps I've Made"
"Tides from nebula","All The Steps I've Made"
"Kingcrow","The Moth"
"Kingcrow","The Moth"
"High On Fire","Turk"
"High On Fire","Turk"
"Gojira","VACUITY"
"Gojira","VACUITY"
"Leviathan","Summoning Lupine"
"Leviathan","Summoning Lupine"
"Bloodhorse","A Good Son"
"Bloodhorse","A Good Son"
"Oh, Sleeper","Son Of The Morning"
"Oh, Sleeper","Son Of The Morning"
"Queensrÿche","Revolution Calling - 2003 Digital Remaster"
"Queensrÿche","Revolution Calling - 2003 Digital Remaster"
"Gorguts","An Ocean of Wisdom"
"Gorguts","An Ocean of Wisdom"
"Volturyon","Fungus Coat"
"Volturyon","Fungus Coat"
"Grave Digger","Highland Farewell"
"Grave Digger","Highland Farewell"
"Skyharbor","Miracle"
"Skyharbor","Miracle"
"Via Luna","Astral Plains"
"Via Luna","Astral Plains"
"For Today","Agape"
"For Today","Agape"
"Converge","Forsaken"
"Converge","Forsaken"
"Moonshade","Dawn Of A New Era"
"Moonshade","Dawn Of A New Era"
"Twin Pyramid Complex","Cataracts"
"Twin Pyramid Complex","Cataracts"
"Discipline.","Circuitry"
"Discipline.","Circuitry"
"Testament","The New Order"
"Testament","The New Order"
"Weedeater","God Luck and Good Speed"
"Weedeater","God Luck and Good Speed"
"Vektor","Ultimate Artificer"
"Vektor","Ultimate Artificer"
"Stories","Under Haze"
"Stories","Under Haze"
"Demolition Hammer","Gelid Remains"
"Demolition Hammer","Gelid Remains"
